Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR,YNPM,Q1_NPM,Q2_NPM,Q3_NPM,Q4_NPM,CTR
klse: SDS Group Bhd,Food and Beverages,4.1,3.8,3.35,2.84,6.43,46269,38723,47540,48558,4222,60,704,635,3772,32,1229,58,181090,5062,0.16,0,10620,54390,77020,64670,0.86,0.71,0.3,0.078274316,1.190969538,2.800216484,2.795295157,0.119444788,2.585191418,0.082638225,8.152326612,17.05178908
klse: Nova Wellness Group,Pharmaceuticals,4.4,3.7,2.79,5.02,5.89,9049,10678,8777,8819,3563,6674,3645,4734,2690,4908,2722,3545,37323,13865,0.27,7150,32880,0,4960,86540,11.93,9.69,6.97,0.16021493,0.057314537,0.431280333,37.14867508,40.19730128,31.01287456,45.96366361,29.72704166,1.135127737
klse: Jaya Tiasa Holdings Bhd,Forest Products,4.1,2.2,3.62,2.24,8.19,221095,139255,144589,186905,46996,-109870,-45292,-7920,34844,-36110,-45920,-7274,691844,-54889,1.14,830,13280,802160,1020000,1110000,0.18,0.08,0.02,-0.04944955,0.918918919,0.623282883,-7.933724944,-3.891816698,-31.75898581,-25.93084629,15.75974129,52.09668675
klse: Eversafe Rubber Bhd,Auto Parts,4.9,4.3,4.67,6.64,3.83,30496,19074,29536,29577,2939,247,2152,-207,2597,212,1784,-36,108683,4557,0.26,0,18340,33630,44990,63800,1.89,1.34,0.58,0.071426332,0.705172414,1.703495298,4.192928057,-0.121716198,6.040086674,1.111460627,8.515870934,5.926008724
klse: Menang Corp. (Malaysia) Bhd,Construction,3.3,2.4,4.58,1.05,5.33,11971,12007,10,60,51,-2767,-2180,-3137,1023,1067,535,1671,24048,10114,0.67,0,49090,380180,758830,322610,1.35,1.28,0.13,0.031350547,2.352158954,0.074542017,42.05755156,2785,5350,8.886482885,8.545651992,0.489875738
klse: GPA Holdings Bhd,Consumer,4.6,2.4,3.95,4.42,7.72,7078,7611,7590,6789,-271,104,-2220,469,-350,69,-2270,419,29068,-2360,0.11,0,62880,0,12880,105390,5.47,4.91,4.05,-0.022393016,0.122212734,0.275813645,-8.118893629,6.171748417,-29.90777339,0.906582578,-4.944899689,0.462277354
klse: Perdana Petroleum Bhd,Oilfield Services,4.4,1.9,5.12,3.55,6.95,52452,60000,59664,64044,-19944,-2794,-13307,4294,-30518,-2879,-13901,-2559,236160,-49857,0.4,0,60860,118820,383310,932770,0.43,0.43,0.13,-0.053450475,0.410937316,0.253181384,-21.11153455,-3.995690463,-23.29880665,-4.798333333,-58.18271944,3.880381203
klse: WMG Holdings Bhd,Forest Products,3.3,1.3,5.43,1.02,5.24,16635,7502,9652,19568,-625,-1962,-4653,-1632,-632,-1926,-4795,-4402,53357,-11755,0.43,0,9140,230830,258960,177970,0.92,0.28,0.07,-0.066050458,1.455076698,0.299808957,-22.03084881,-22.49591169,-49.67882304,-25.67315383,-3.799218515,5.837746171
klse: Minho (Malaysia) Bhd,Forest Products,5.8,3.8,7.49,5.07,6.64,58792,47362,51649,58139,3034,3164,776,-2943,1674,2300,142,-3061,215942,1487,1.09,0,42960,57820,94210,371900,3.33,1.32,0.61,0.003998387,0.253320785,0.580645335,0.688610831,-5.264968438,0.274932719,4.856213842,2.847326167,5.026582868
klse: Inari Amertron Bhd,Semiconductor,4.6,2.8,1.46,5.25,8.76,347621,233341,242566,265437,77414,34066,40757,42652,70070,35473,35062,37485,1088965,178761,0.37,2290,594590,9130,254860,1200000,4.04,3.43,2.48,0.1489675,0.212383333,0.907470833,16.41567911,14.12199505,14.45462266,15.20221478,20.15701008,1.831455289
klse: Cheetah Holdings Bhd,Apparel,4.7,3.1,6.27,5.14,4.27,27903,20765,25269,38228,1748,1663,-3793,1312,1748,1859,-3793,1312,112165,1126,1.08,0,42430,1450,6430,124460,21.05,11.07,7.77,0.009047083,0.051663185,0.901213241,1.003878215,3.432039343,-15.01048716,8.952564411,6.264559366,2.643530521
klse: Genting Bhd,Gambling,7.8,6.2,8.79,6.42,9.73,3298829,1107938,4109218,5303023,60044,-1660160,-218205,1119541,-130746,-786054,-132318,528822,13819008,-1294185,9.18,40550,31040000,37950000,47020000,33220000,3.84,3.77,3.49,-0.038958007,1.415412402,0.415984588,-9.365252556,9.972085733,-3.220028726,-70.94747179,-3.963406409,0.4452
klse: Kossan Rubber Industries Bhd,Miscellaneous Manufacturing,5,3.8,2.44,4.24,9.37,1033347,701680,611465,578349,436393,160836,82534,72279,348741,131057,64803,61003,2924841,610364,1.11,4930,376510,580920,1050000,1580000,1.42,0.94,0.25,0.386306329,0.664556962,1.85116519,20.86827968,10.54778343,10.59799007,18.67760233,33.74868268,7.768295663
klse: Superlon Holdings Bhd,Industrial Specialties,5.9,5.3,5.67,6.9,5.7,22630,27406,18792,26441,3368,4689,1633,2871,2704,3795,1322,2154,95269,9975,0.81,1300,25790,10810,26960,132120,4.56,2.77,1.5,0.075499546,0.204056918,0.721079322,10.47035237,8.146439242,7.034908472,13.8473327,11.94874061,3.694028693
klse: MBM Resources Bhd,Specialty Stores,7.3,7.5,7.53,7.5,6.62,600447,258596,374040,496063,79601,-2820,31267,42159,64979,-5186,27229,41037,1729146,144367,4.46,1100,194320,31610,140820,1740000,3.74,3.03,1.73,0.08296954,0.080931034,0.993762069,8.349034726,8.272537964,7.279702706,-2.005444786,10.82177111,8.898445862
klse: Petra Energy Bhd,Oilfield Services,6.6,7.6,6.26,7.62,4.76,147683,70528,72386,124368,24000,7605,-20747,22187,23723,3087,-20747,21676,414965,27739,1.19,0,128440,24900,189560,357870,1.34,1.32,0.66,0.077511387,0.529689552,1.159541174,6.684660152,17.42892062,-28.66161965,4.376985027,16.06346025,3.230808159
klse: Riverview Rubber Estates Bhd,Agricultural Commodities,4.3,3.1,6.31,5.6,2.4,10653,8731,7647,6496,5172,3456,2106,276,3703,2385,1288,607,33527,7374,4.1,2730,47540,0,22870,268810,11.41,10.76,9.09,0.027432015,0.08507868,0.124723783,21.99421362,9.344211823,16.84320649,27.3164586,34.76016146,0.705237695
klse: AEON Co. (M) Bhd,Food and Beverages,4.5,4.4,5.15,1.76,6.81,989623,954323,1190869,1170107,35748,830,25368,87294,16357,-9562,7473,49880,4304922,64148,1.21,13540,55160,3290000,4540000,1670000,0.36,0.06,0.03,0.038411976,2.718562874,2.577797605,1.490108299,4.262858012,0.627524942,-1.001966839,1.652851641,78.04427121
klse: Ho Wah Genting Bhd,Electrical Products,2.6,0.7,0.01,1.96,7.92,96092,53267,48175,34378,2,-1699,1954,-5572,-773,-1869,1169,-5084,231912,-6568,0.07,0,16340,26950,91970,39110,1.24,0.6,0.17,-0.167936589,2.351572488,5.92973664,-2.832108731,-14.78852755,2.426569798,-3.508738994,-0.804437414,14.19290086
klse: Meridian Bhd,Property Developer,3.1,2.4,1.15,3.01,5.68,667,6952,611,7454,-2072,4248,11433,-11199,-2072,4248,11470,-11262,19194,-9056,0.23,860,367,31300,100320,125990,0.75,0.23,0,-0.071878721,0.796253671,0.152345424,-47.18141086,-151.0866649,1877.250409,61.10471807,-310.6446777,52.29972752
klse: Malaysian Resources Corp. Bhd,Engineering,5.4,2.7,6.83,4.76,7.26,297626,167183,425752,471633,7625,-222026,26868,20434,920,-219606,15645,6029,1362194,-195711,1.09,223980,765340,2020000,3640000,4550000,1.74,1.22,0.26,-0.043013407,0.8,0.299383297,-14.36733681,1.27832446,3.674674458,-131.3566571,0.309112779,1.779854705
klse: Xin Hwa Holdings Bhd,Couriers,4.3,2.4,5.54,2.66,6.44,26858,19534,20732,32355,-780,111,-4221,1680,-775,12,-6740,1516,99479,-6059,0.83,340,5380,125490,157340,180410,0.69,0.65,0.06,-0.033584613,0.872124605,0.551405133,-6.090732717,4.685520012,-32.51012927,0.06143135,-2.885546206,18.49052045
klse: Analabs Resources Bhd,Industrial Specialties,4.8,4.7,6.29,5.36,2.85,26877,27585,20657,30251,3487,6104,-1051,2340,2384,5479,-204,1297,105370,9555,2.35,7770,20840,41670,86380,263000,1.03,0.78,0.39,0.036330798,0.328441065,0.400646388,9.068045933,4.287461572,-0.987558697,19.86224397,8.870037579,5.056142035
klse: Eonmetall Group Bhd,Industrial Machinery,5.3,4.7,6.34,3.38,6.65,45998,17857,21490,45431,3122,267,1505,4249,2731,28,1272,5602,130776,9619,1.31,0,14190,176570,200880,243330,1.34,0.66,0.12,0.039530679,0.825545555,0.537442979,7.355325136,12.33078735,5.919032108,0.156801254,5.937214662,9.216067653
klse: JAG Bhd,Internet Services,4.8,3.1,5.72,4.28,6.18,47913,29409,37396,35963,3982,2047,1588,2171,2455,2171,1538,2531,150681,8535,0.08,100,21820,27430,43850,154220,3.42,1.28,0.96,0.055343016,0.284334068,0.977052263,5.66428415,7.037788839,4.11273933,7.382093917,5.123870348,6.90563703
klse: Tenaga Nasional Bhd,Utilities,7,5.3,5.71,7.58,9.24,11106400,10890800,11654500,12177100,1282700,1044700,1016400,774800,1009600,653300,717900,653300,45828800,2998700,10.2,247900,11370000,77170000,117240000,54720000,1.06,0.98,0.59,0.054800804,2.14254386,0.83751462,6.54326537,5.36498838,6.159852418,5.998641055,9.090254268,4.030677221
klse: VisDynamics Holdings Bhd,Electronic Equipments,3.5,2.4,1.04,4.47,6.07,14132,4030,5571,2537,4329,-853,1128,-1687,3858,-853,1128,-1687,26270,2446,0.27,2350,15290,899,8400,41780,4.73,3.31,1.49,0.058544758,0.201053135,0.628769746,9.311001142,-66.49586125,20.24771136,-21.1662531,27.29974526,1.718116416
klse: AEON Co. (M) Bhd,Food and Beverages,4.5,4.4,5.15,1.76,6.81,989623,954323,1190869,1170107,35748,830,25368,87294,16357,-9562,7473,49880,4304922,64148,1.21,13540,55160,3290000,4540000,1670000,0.36,0.06,0.03,0.038411976,2.718562874,2.577797605,1.490108299,4.262858012,0.627524942,-1.001966839,1.652851641,78.04427121
klse: Imaspro Corp. Bhd,Chemicals,4.4,2.4,4.48,5.32,5.41,11607,14353,16207,17767,1478,1256,1197,891,1148,-1607,902,676,59934,1119,1.59,0,35340,3420,8340,127100,19.54,16.28,8.24,0.008804091,0.065617624,0.471549961,1.867053759,3.804806664,5.56549639,-11.19626559,9.890583269,1.695925297
klse: Amtel Holdings Bhd,Telecommunication Equipment,3.9,3.3,3.11,4.57,4.48,17724,6554,11364,17408,2566,173,1356,2552,2027,130,983,2202,53050,5342,0.93,0,25250,788,12000,51140,3.96,3.69,2.9,0.10445835,0.23464998,1.037348455,10.06974552,12.64935662,8.650123196,1.983521514,11.43647032,2.100990099
klse: Luster Industries Bhd,Miscellaneous Manufacturing,4.2,2.4,2.46,3.97,8.14,51628,35432,48214,49108,3525,751,2769,3178,2782,233,1718,2201,184382,6952,0.09,6450,25130,14680,72960,191130,3.29,2.23,0.45,0.036373149,0.381729713,0.964694187,3.770433123,4.481958133,3.563280375,0.657597652,5.388548849,7.33712694
klse: Solid Automotive Bhd,Wholesale Distributors,5,3.8,5.9,3.96,6.21,76281,73622,44103,63493,2412,2687,-7935,691,2111,2590,-8666,500,257499,-3452,0.36,2300,23290,51740,96640,145070,2.2,1.06,0.22,-0.023795409,0.666161164,1.774998277,-1.34058773,0.787488385,-19.64945695,3.517970172,2.767399483,11.05620438
klse: Kossan Rubber Industries Bhd,Miscellaneous Manufacturing,5,3.8,2.44,4.24,9.37,1033347,701680,611465,578349,436393,160836,82534,72279,348741,131057,64803,61003,2924841,610364,1.11,4930,376510,580920,1050000,1580000,1.42,0.94,0.25,0.386306329,0.664556962,1.85116519,20.86827968,10.54778343,10.59799007,18.67760233,33.74868268,7.768295663
klse: Thriven Global Bhd,Building Materials,4.9,5.2,6.01,3.45,4.9,49244,21357,41655,46415,8845,-4803,-5,-3472,6959,-5566,-1144,-5447,158671,-2946,0.37,5310,15960,113830,219460,197130,1.71,0.76,0.04,-0.014944453,1.113275503,0.804905392,-1.856671982,-11.73543036,-2.746368983,-26.06171279,14.13167086,9.94179198
klse: Metrod Holdings Bhd,Electrical Products,2.6,2.3,5.58,2.09,0.42,489263,290340,517240,652346,3021,-11849,-5992,4567,5895,-6941,-6485,1355,1949189,-13900,3.47,0,290030,943220,1020000,402160,1.17,0.6,0.32,-0.034563358,2.536303959,4.846799781,-0.713117096,0.207711858,-1.25377001,-2.39064545,1.204873453,6.72064614
klse: Radiant Globaltech Bhd,Packaged Software,3.9,2.9,1.74,4.44,6.54,14500,12395,14144,29759,22,-704,-258,3064,119,-506,21,2010,70798,713,0.12,2650,36510,3220,22170,63250,2.66,2.47,1.29,0.011272727,0.350513834,1.119335968,1.007090596,6.754259216,0.148472851,-4.082291246,0.820689655,1.939139962
klse: Ta Win Holdings Bhd,Metal Fabrication,3,0.2,2.3,3.16,6.38,85008,37620,63266,87153,-3051,-5831,-3249,-1987,-2754,-5411,-3443,-1868,273047,-14378,0.32,0,47640,57410,70420,108590,1.97,1.36,0.73,-0.132406299,0.648494336,2.514476471,-5.265760107,-2.143357085,-5.442101603,-14.38330675,-3.239695088,5.731465155
klse: Alcom Group Bhd,Aluminum,2.5,1.7,3.95,0.53,3.8,70744,54540,81485,100279,-1711,-4708,-1289,1364,-2137,-4303,-2318,-477,307048,-8711,0.91,3230,43950,179830,259370,115520,1.97,0.61,0.38,-0.075406856,2.24523892,2.657963989,-2.837015711,-0.475672873,-2.844695343,-7.889622296,-3.020750876,6.986302617
klse: AHB Holdings Bhd,Financial Services,3.2,0.5,2.01,3.96,6.37,2024,1017,3012,4005,-3745,-2465,-543,118,-3745,-2465,-543,118,10058,-6635,0.12,1940,2180,0,3880,25110,3.49,2.08,0.35,-0.264237356,0.154520112,0.400557547,-65.96738914,2.946317104,-18.02788845,-242.3795477,-185.0296443,4.613761468
klse: TMC Life Sciences Bhd,Consumer,3.8,2.8,3.5,4.39,4.52,50827,15105,34873,50894,10621,3678,-4555,8632,7784,2800,-4301,6823,168586,25404,0.44,195030,137080,89040,168950,769320,2.66,2.5,1.95,0.03302137,0.219609525,0.21913638,15.06886693,13.40629544,-12.33332377,18.53690831,15.31469495,1.229836592
klse: YNH Property Bhd,Agricultural Commodities,3.1,2.4,3.59,1.81,4.61,50677,23054,66588,90336,2210,2473,4183,24870,1355,821,3003,17753,230655,22932,2.2,17630,60400,1080000,1500000,907000,0.79,0.19,0.01,0.025283352,1.653803749,0.254305402,9.94212135,19.65218739,4.509821589,3.561204129,2.673796791,3.818791391
klse: TH Heavy Engineering Bhd,Oilfield Services,1.7,2.2,0.01,0.01,4.7,19287,15558,18937,22072,924,-15842,1779,1494,1650,-15120,2502,2612,75854,-11721,0.06,0,15960,138440,434240,54290,0.21,0.21,0.07,-0.215896113,7.998526432,1.397200221,-15.45205263,11.83399783,13.21223003,-97.18472811,8.554985223,4.752756892
klse: TSR Capital Bhd,Engineering,5.6,5.1,7.4,3.76,6.14,19045,25117,30545,37096,-526,18297,796,1019,-524,15763,796,1020,111803,17050,0.99,0,7470,65760,167710,172930,1.05,0.96,0.06,0.098594807,0.969814376,0.646521714,15.25003801,2.749622601,2.605991161,62.7582912,-2.751378315,14.9669344
klse: Hubline Bhd,Chemicals,2.7,1.5,1.32,2.46,5.41,34723,29827,36461,35867,-24499,-8606,-1992,722,-48866,-11370,-2605,101,136879,-61102,0.04,25860,14380,77010,156010,176780,0.76,0.64,0.16,-0.345638647,0.882509334,0.774290078,-44.63942606,0.281595896,-7.144620279,-38.11982432,-140.7309276,9.518706537
klse: Central Global Bhd,Office Equipments,2.1,2.4,2.28,3.73,0,35059,20035,29946,37611,49,-380,756,1534,87,-184,111,-84,122651,1023,0.53,20,13480,3920,36050,47910,2.27,1.79,0.52,0.021352536,0.752452515,2.560029221,0.834073917,-0.223338917,0.370667201,-0.918392813,0.248153113,9.098738872
klse: Velesto Energy Bhd,Oilfield Services,4.7,2.3,5.71,3.18,7.65,130659,140947,176269,178101,2845,-13531,17732,14592,479,-15249,16325,10201,625976,11756,0.34,0,445150,1200000,1310000,2850000,1.81,1.41,0.78,0.004124912,0.459649123,0.219640702,1.878027273,5.727648918,9.261412954,-10.81896032,0.366603143,1.406213636
klse: Tong Herr Resources Bhd,Metal Fabrication,6.4,6.1,6.6,9.45,3.57,130089,121736,171429,161971,11121,9769,15420,11643,6288,7760,11807,4186,585225,35618,3.06,0,134160,76290,101300,470990,3.9,1.67,1.11,0.075623686,0.215078876,1.242542305,6.08620616,2.584413259,6.887399448,6.374449629,4.83361391,4.362142218
klse: Icon Offshore Bhd,Oilfield Services,3.7,2.4,3.53,1.77,7.05,52578,56002,48880,53790,4128,9750,24483,11327,426,6899,20359,7409,211250,41395,0.04,0,79810,368890,427580,353240,0.14,0.14,0.05,0.117186615,1.210451817,0.59803533,19.59526627,13.77393568,41.650982,12.31920289,0.810224809,2.646911415
klse: Artroniq Berhad,Industrial Specialties,3.2,1.4,0.01,4.03,7.47,57762,30837,22964,26403,-1817,-747,-492,-669,-4253,-787,-543,-757,137966,-6340,0.15,0,6100,517,12500,35400,3.15,2.13,1.42,-0.179096045,0.353107345,3.897344633,-4.595335083,-2.867098436,-2.364570632,-2.552128936,-7.362972196,22.61737705
klse: Kumpulan H&L High-Tech Bhd,Industrial Machinery,5.2,5.5,7.83,6.54,1.08,5359,4808,3208,5132,1277,1432,-485,479,1315,1447,-656,322,18507,2427,2.64,0,27260,16820,25590,95310,8.07,7.07,6.3,0.025464274,0.268492288,0.194176896,13.11395688,6.274356976,-20.44887781,30.09567388,24.5381601,0.678906823
klse: Cocoaland Holdings Bhd,Food and Beverages,5.5,4.6,4.93,8,4.43,56127,48621,61025,70229,9634,5136,6471,18023,7306,3519,5127,13581,236002,29533,1.09,0,80630,1230,34230,257700,4.95,4.04,2.21,0.114602251,0.132828871,0.915801319,12.513877,19.33816515,8.401474805,7.237613377,13.01690808,2.926975071
klse: Berjaya Corp. Bhd,Construction,4,1.6,5.94,1.36,7.21,1943623,859019,1975461,2082837,10883,-380803,538082,-61664,-58952,-345806,412521,-134422,6860940,-120864,1.27,5220400,1590000,7550000,11960000,6540000,1.22,0.88,0.3,-0.018480734,1.828746177,1.049073394,-1.7616245,-6.453793552,20.88226495,-40.25591983,-3.033098497,4.315056604
klse: Success Transformer Corp. Bhd,Electrical Products,6,5,7.67,6.27,4.83,70296,44209,47537,64714,10633,2022,-2120,3677,6459,397,-3240,1673,226756,7843,1.37,0,84720,3220,34590,314790,7.61,4.57,2.46,0.024915023,0.109882779,0.720340544,3.458783891,2.585221127,-6.815743526,0.898007193,9.188289519,2.676534466
klse: MAG Holdings Bhd,Food and Beverages,5.2,2.3,7.77,4.4,6.49,15129,14217,2237,78199,5055,1593,-335,-97424,5073,1544,-295,-96644,109782,-90966,0.82,1100,98020,52200,71410,495490,9.69,9.37,8.33,-0.183587963,0.144119962,0.221562494,-82.86057824,-123.5872581,-13.18730443,10.86023774,33.531628,1.119995919
klse: Techbond Group Bhd,Miscellaneous Manufacturing,4.7,4,3.71,5.07,6.19,22006,13966,17113,20825,3513,3079,3377,3836,2510,2473,2523,3019,73910,10525,0.6,0,56990,0,8590,138020,12.97,10.04,7.75,0.076257064,0.062237357,0.535502101,14.24029225,14.4969988,14.7431777,17.70728913,11.40598019,1.296894192
klse: Berjaya Land Bhd,Ringgit,2.8,1.3,4.75,0.01,5.22,1455254,541582,1520849,1534169,22995,-144618,232680,11193,-41878,-136774,144180,-63730,5051854,4231,0.82,3609550,646390,4560000,7610000,4080000,1.41,1.16,0.18,0.00103701,1.865196078,1.23819951,0.083751431,-4.154040396,9.480231108,-25.25453209,-2.877710695,7.815489101
klse: FoundPac Group Bhd,Semiconductor,4.3,3,1.61,5.14,7.36,12440,12415,11143,14532,4139,4758,4018,6619,3074,4215,3120,4646,50530,15846,0.18,12650,51140,219,7950,96010,12.67,11.96,9.28,0.165045308,0.082803875,0.526299344,31.35958836,31.97082301,27.99964103,33.95086589,24.71061093,0.988071959
klse: Tex Cycle Technology (M) Bhd,Environmental Services,4.6,3,5.36,4.86,5.23,6503,5036,5424,7081,2226,1084,-308,102,1575,845,-465,-350,24044,1591,0.42,580,24630,10200,15950,105680,8.6,8.55,6.6,0.015054883,0.150927328,0.227517033,6.617035435,-4.942804689,-8.57300885,16.77918983,24.21959096,0.976207877
klse: Nexgram Holdings Bhd,Internet Services,3.3,0.9,1.74,3.79,6.65,12946,15839,4497,8938,-2838,-59974,-1195,-1572,-2665,-59568,-656,-1638,42220,-64784,0.03,51370,22170,13050,35550,89220,2.06,1.92,0.89,-0.726115221,0.398453262,0.473212284,-153.4438655,-18.32624748,-14.58750278,-376.0843488,-20.58550904,1.904375282
klse: Karyon Industries Bhd,Chemicals,5.3,3.8,5.47,5.8,5.98,34427,21933,33162,42676,2191,183,358,2914,1438,49,173,2077,132198,3737,0.22,0,42250,8070,18110,103440,4.99,3.61,2.25,0.036127224,0.17507734,1.278016241,2.826820375,4.866904115,0.521681443,0.223407651,4.176954135,3.128946746
klse: Euro Holdings Bhd,Office Equipments,3,1.4,0.01,2.31,8.11,35120,4928,9933,18161,3370,-4392,-2910,-3932,3405,-4431,-3062,-4178,68142,-8317,0.23,0,9320,57560,95390,54460,1.41,0.56,0.12,-0.152717591,1.751560779,1.251230261,-12.20539462,-23.00534112,-30.8265378,-89.91477273,9.695330296,7.311373391
klse: BSL Corp. Bhd,Steel,3.8,2.4,5.14,3.98,3.68,43151,20017,38252,35716,3758,-2590,703,-453,2433,-2305,540,-297,137136,617,1.11,0,17060,11000,40150,106610,1.9,1.5,0.34,0.00578745,0.376606322,1.286333365,0.449918329,-0.831560085,1.411690892,-11.51521207,5.638339784,8.038452521
klse: Woodlandor Holdings Bhd,Building Materials,3,0.8,3.96,5.04,1.99,2604,836,1534,2418,-1163,-2218,-1259,-992,-1165,-1705,-1251,-989,7693,-4916,1.13,0,6090,4380,10670,38030,1.76,1.13,0.63,-0.129266369,0.280567973,0.202287668,-63.9022488,-40.90157155,-81.55149935,-203.9473684,-44.73886329,1.263218391
klse: Rhone Ma Holdings Bhd,Agricultural Commodities,3.9,4.5,4.7,4.5,1.97,40101,30690,33887,30891,2939,871,3235,3226,1834,507,2310,2240,135569,7335,0.59,0,18800,32470,40790,121660,4.6,2.48,0.58,0.060290975,0.335278645,1.114326812,5.410528956,7.251302969,6.816773394,1.65200391,4.573452034,7.211117021
klse: SMIS Corp. Bhd,Auto Parts,3.2,1.4,5.47,3.49,2.26,31400,11206,21641,33768,200,-2397,-4173,286,-95,-897,-3735,-1055,98015,-6835,1.37,0,12990,14770,29870,56300,1.96,1.36,0.45,-0.121403197,0.530550622,1.740941385,-6.973422435,-3.124259654,-17.2589067,-8.004640371,-0.302547771,7.545419554
klse: ARK Resources Holdings Bhd,Engineering,2,1,2.08,3.88,1.26,352,327,349,1447,-289,-373,-376,-674,-289,-373,-388,-674,1536,-1456,0.3,0,1060,0,3790,14290,4.06,1.08,0.35,-0.101889433,0.265220434,0.107487754,-94.79166667,-46.57912923,-111.1747851,-114.0672783,-82.10227273,1.449056604
klse: SCH Group Bhd,Industrial Machinery,2.9,1.3,3.07,1.58,5.77,37216,29279,22035,32756,-4192,-522,-3186,150,-4254,-767,-3028,112,121286,-7824,0.14,28760,14800,63450,104330,82270,2.75,1.93,0.51,-0.095101495,1.268141485,1.474243345,-6.450868196,0.341922091,-13.74177445,-2.619624987,-11.4305675,8.195
klse: Xian Leng Holdings Bhd,Agricultural Commodities,3.5,2.4,3.98,4.06,3.59,7748,7953,6404,4337,335,547,-248,-397,268,437,-270,-431,26442,4,0.61,0,3540,380,1650,46960,10.5,6.85,4.26,8.51789E-05,0.035136286,0.563074957,0.015127449,-9.937744985,-4.216114928,5.494781843,3.45895715,7.469491525
klse: IJM Plantations Bhd,Agricultural Commodities,4,3.3,4.07,3.67,5.13,211370,205985,195393,237812,-2430,115298,-73438,33303,-1040,82116,-76387,20063,850560,19896,1.35,0,267400,921650,1160000,1350000,1.64,1.28,1.03,0.014737778,0.859259259,0.630044444,2.339164786,8.436496056,-39.094031,39.86503872,-0.492028197,3.180852655
klse: Paramount Corp. Bhd,Property Developer,6.8,6,7.69,7.78,5.81,218865,64198,122114,209622,36572,-1989,4263,37431,19816,-3701,466954,39116,614799,539140,1.88,0,324380,1050000,1280000,1430000,1.66,1.4,0.15,0.377020979,0.895104895,0.429929371,87.69370152,18.66025513,382.3918633,-5.764977102,9.053983049,1.895304889
klse: Thong Guan Industries Bhd,Crude Oil,6.6,5.6,6.41,7.12,7.21,245791,228034,244021,231625,27435,25921,22584,21748,19596,20462,17461,17856,949471,80615,3.13,0,244010,150840,254100,618610,2.69,1.81,1.01,0.130316354,0.410759606,1.534845864,8.490517351,7.709012412,7.155531696,8.973223291,7.972627151,3.891115118
klse: SBC Corp. Bhd,Engineering,5.6,6.2,8.05,4.67,3.53,24587,5159,42989,31222,6695,-1361,-5134,5905,4557,-1649,-5642,4752,103957,1246,1.6,0,13210,94770,243580,413680,2.42,0.52,0.06,0.00301199,0.588812609,0.251298105,1.198572487,15.22003715,-13.12428761,-31.96355883,18.53418473,7.869568509
klse: Sasbadi Holdings Bhd,Publishing,4.5,2.4,6.25,3.47,5.9,6788,4946,22961,27745,-7667,-10559,3045,5877,-6204,-8771,2002,4021,62440,-8952,0.35,24360,6210,40220,65200,152560,3.09,1.46,0.16,-0.058678553,0.427372837,0.409281594,-14.33696348,14.49270139,8.719132442,-177.3352204,-91.3965822,10.0547504
klse: ABM Fujiya Bhd,Consumer,3.9,3.8,6.26,3.52,1.93,26557,17664,19826,29952,3171,568,-445,1668,2294,374,-446,1061,93999,3283,0.89,0,12910,75210,104440,159910,2.02,0.77,0.18,0.020530298,0.653117379,0.587824401,3.492590347,3.542334402,-2.24957127,2.117300725,8.638023873,7.281099923
klse: Eversafe Rubber Bhd,Auto Parts,4.9,4.3,4.67,6.64,3.83,30496,19074,29536,29577,2939,247,2152,-207,2597,212,1784,-36,108683,4557,0.26,0,18340,33630,44990,63800,1.89,1.34,0.58,0.071426332,0.705172414,1.703495298,4.192928057,-0.121716198,6.040086674,1.111460627,8.515870934,5.926008724
klse: OKA Corp. Bhd,Building Materials,6.2,5.6,6.4,8.56,4,34109,13570,24890,29859,7929,482,1189,3171,6096,451,1347,2141,102428,10035,0.72,0,47050,0,17940,176400,4.91,3.31,2.02,0.056887755,0.10170068,0.580657596,9.797125786,7.170367393,5.411811973,3.323507738,17.87211586,2.177003188
klse: Magnum Bhd,Gambling,5.1,4.8,2.92,6.76,5.89,485705,50554,609544,630932,47279,-24732,77533,79965,30259,-23665,55593,56288,1776735,117513,1.74,2738330,225340,903930,1040000,2430000,0.89,0.89,0.79,0.048359259,0.427983539,0.731166667,6.613985766,8.921405159,9.120424448,-46.81133046,6.229913219,7.884685364
klse: Asia File Corp. Bhd,Paper,6.2,6.1,7.57,7.51,3.47,66605,44652,70675,71792,14456,1100,9928,13802,12690,650,8653,11399,253724,33354,3.21,30410,248600,29620,59710,627780,7.34,5.55,4.47,0.053130077,0.095112938,0.404160693,13.14578045,15.87781368,12.24336753,1.455701872,19.05262368,1.020611424
klse: Superlon Holdings Bhd,Industrial Specialties,5.9,5.3,5.67,6.9,5.7,22630,27406,18792,26441,3368,4689,1633,2871,2704,3795,1322,2154,95269,9975,0.81,1300,25790,10810,26960,132120,4.56,2.77,1.5,0.075499546,0.204056918,0.721079322,10.47035237,8.146439242,7.034908472,13.8473327,11.94874061,3.694028693
